x,y
0.44512546,0.8176323
0.016033415,0.56691265
0.10860748,0.53859425
0.5284522,0.031924713
0.2729242,0.23805021
0.19418688,0.671634
0.2165832,0.28130972
0.34431309,0.37677187
0.1495216,0.13409595
0.28525737,0.5208857
0.16217133,0.37271166
0.4793079,0.086509064
0.11287517,0.2167661
0.54665184,0.9450977
0.25169867,0.6612404
0.46628025,0.3046609
0.05781793,0.75687075
0.44595468,0.2686752
0.62224054,0.15573084
0.4019332,0.2538039
0.42187765,0.5187267
0.10669968,0.54042685
0.55314624,0.8087475
0.37824243,0.5990707
0.4354888,0.94430983
0.3655355,0.429622
0.5076512,0.67317784
0.4164735,0.80077887
0.64918846,0.121226534
0.14975375,0.7523005
0.17014177,0.82402265
0.006377261,0.61493677
0.4717918,0.096192114
0.13879782,0.56503224
0.38063368,0.10875491
0.45136642,0.95831007
0.6268705,0.7281662
0.068966106,0.7473206
0.048275653,0.59251064
0.15753517,0.2712878
0.43309075,0.8224919
0.51574916,0.6196748
0.20392789,0.38145137
0.23303458,0.33459052
0.6092246,0.16437575
0.49587634,0.3594642
0.32600278,0.63003236
0.25823504,0.038297746
0.27564695,0.042138133
0.16480973,0.4845083
0.16698475,0.8016657
0.44342858,0.82118815
0.49329558,0.67647725
0.14038472,0.30375254
0.4700242,0.21362007
0.09707073,0.2710493
0.42028448,0.5501868
0.26869962,0.719214
0.50979704,0.14163461
0.62797976,0.27544484
0.455495,0.83726454
0.5662233,0.4287592
0.14765686,0.58969057
0.11475409,0.6901654
0.06048757,0.49158755
0.50270283,0.10916571
0.15318371,0.4658165
0.62138784,0.7663814
0.35403243,0.5353804
0.116517216,0.3105763
0.2901217,0.26495448
0.35113353,0.46817008
0.12699239,0.6224201
0.2396862,0.15601708
0.27505144,0.48112464
0.104915306,0.8282835
0.626711,0.25750092
0.21202633,0.85859185
0.5290673,0.33874992
0.33889502,0.8081158
0.6687902,0.80472356
0.32032943,0.21208332
0.33510575,0.6527493
0.43282637,0.94656473
0.37313336,0.07989368
0.25791436,0.56318456
0.24143343,0.52771544
0.37904972,0.24466044
0.28196537,0.38338596
0.18741482,0.26080984
0.11426207,0.7300971
0.38292754,0.5654453
0.3475802,0.2759404
0.20956926,0.43108392
0.06444013,0.45941088
0.37958053,0.6236955
0.42261857,0.2476114
0.4113597,0.28814957
0.020030875,0.6120144
0.67445314,0.1445075
0.5164118,0.9585358
0.24729198,0.40112582
0.5196248,0.36231315
0.2625072,0.5228546
0.47144228,0.56215805
0.03718092,0.7090646
0.44001013,0.8362101
0.3774396,0.12789139
0.23304725,0.46460903
0.44818065,0.40230048
0.36669704,0.26248616
0.31530163,0.68206704
0.23826957,0.40814295
0.39991128,0.11408662
0.2772862,0.3299442
0.45155185,0.42697486
0.15753254,0.13108625
0.21721041,0.25494394
0.50031626,0.46958807
0.5429887,0.020322436
0.20914248,0.54649824
0.102837674,0.2994887
0.5754146,0.7966005
0.1393677,0.45332333
0.40123394,0.79283327
0.3544514,0.07116372
0.2822911,0.3931266
0.3923294,0.10429427
0.48386937,0.5413959
0.39278844,0.44856384
0.24175598,0.20461282
0.14523046,0.1562751
0.41159162,0.20263192
0.3676162,0.52845585
0.2666627,0.23641421
0.18519871,0.21831144
0.2626287,0.42166802
0.24796513,0.3707347
0.33311448,0.39746335
0.30700925,0.43313944
0.044774603,0.5765361
0.3018906,0.5634808
0.27977052,0.480843
0.30412897,0.057499833
0.083517745,0.2296911
0.06622541,0.4120497
0.20746593,0.2344544
0.51727986,0.78407663
0.33268183,0.54269296
0.49341133,0.98116916
0.2519788,0.107927255
0.15989113,0.6393004
0.39123714,0.058940314
0.45287928,0.8286507
0.55530447,0.20132712
0.47099984,0.70295614
0.17089608,0.27025318
0.38128486,0.62705725
0.38391513,0.054180264
0.3441444,0.22563139
0.36668316,0.4298021
0.24237944,0.12892029
0.22826868,0.28793022
0.48517177,0.84733117
0.35748664,0.17336716
0.16520791,0.64130145
0.2745069,0.22457622
0.17135568,0.22428574
0.3087291,0.56573874
0.46441162,0.97461104
0.06826405,0.70572007
0.29084277,0.62993747
0.34582502,0.14882985
0.65531224,0.20927003
0.15182869,0.801784
0.62762,0.7259854
0.52415586,0.4001239
0.04467825,0.4705431
0.47204345,0.3089654
0.35440427,0.40914568
0.1278347,0.6728358
0.48851058,0.7667352
0.16698703,0.6034763
0.42207995,0.49146676
0.33542487,0.21864182
0.3019212,0.16828477
0.53180575,0.13549277
0.46599042,0.3070839
0.24463713,0.42205298
0.5892186,0.2294194
0.37208197,0.7602302
0.23996617,0.7334709
0.45987615,0.1951832
0.6276797,0.14116617
0.41770795,0.18794285
0.5693072,0.9297626
0.37535885,0.9279736
0.32799911,0.36959454
0.44909784,0.17400637
0.48617217,0.8715566
0.48897153,0.6954076
0.17340972,0.5084076
0.5140666,0.46257076
0.4881343,0.31953025
0.45869362,0.5388334
0.1385365,0.5751172
0.45023218,0.22346526
0.5391019,0.21272443
0.087970436,0.43800122
0.14792785,0.13534373
